id,name,purpose,mmname,position,party
397,"All-Party Parliamentary Group on Diversity and Inclusion in Science, Technology, Engineering and Maths","To increase diversity and promote the inclusion and progression of people from diverse backgrounds in Science, Technology, Engineering and Maths (STEM), and to encourage  government, parliamentarians, academics, businesses and others to work towards a STEM sector that is inclusive to all. To consider and influence changes in policy that will lead to this outcome.",Baroness Brown of Cambridge,Officer,Crossbench
398,All-Party Parliamentary Group for Adult Survivors of Childhood Sexual Abuse,To explore and identify the support and justice needs of adult survivors of childhood sexual abuse.,Baroness Burt of Solihull,Officer,Liberal Democrat
399,All-Party Parliamentary Design and Innovation Group,"To encourage the exchange of knowledge and understanding between Parliament and the design industry and innovation communities, helping to raise the profile of design both inside and outside of Parliament.",Baroness Burt of Solihull,Vice Chair,Liberal Democrat
400,All-Party Parliamentary Group for Funerals and Bereavement,To provide a forum for the discussion of funeral and bereavement issues.,Baroness Burt of Solihull,Vice Chair,Liberal Democrat
401,All-Party Parliamentary Manufacturing Group,"To encourage the exchange of knowledge and understanding between Parliament and the manufacturing industries, helping to raise the profile of manufacturing both inside and outside of Parliament.",Baroness Burt of Solihull,Vice-Chair,Liberal Democrat
402,All-Party Parliamentary Group for Small and Micro Business,To raise awareness of small and micro business issues in parliament.,Baroness Burt of Solihull,Officer,Liberal Democrat
403,All-Party Parliamentary Group on State Pension Inequality for Women,To provide a cross-party forum in which to hold the government to account on the issue of transitional arrangements to compensate 1950s-born women who are affected by changes to the state pension age and to campaign on issues around the state pension age.,Baroness Burt of Solihull,Vice-Chair,Liberal Democrat
404,All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Baroness Burt of Solihull,Officer,Liberal Democrat
405,Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Baroness Burt of Solihull,Officer,Liberal Democrat
406,Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Baroness Burt of Solihull,Vice-Chair,Liberal Democrat
407,All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Baroness Burt of Solihull,Vice Chair,Liberal Democrat
408,All-Party Parliamentary Group on Gibraltar,"To represent the views of the people of Gibraltar in Parliament and work with the Government of Gibraltar, political parties and interest groups.",Baroness Butler-Sloss,Vice Chair,Crossbench
409,All-Party Parliamentary Group on Human Trafficking and Modern Slavery,To raise awareness of the scale and effects of human trafficking into the UK and EU; to seek solutions to reduce supply and demand and to improve welfare provisions for victims.,Baroness Butler-Sloss,Co-Chair,Crossbench
410,All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Baroness Byford,Vice Chair,Conservative
411,All-Party Parliamentary Group for Rural Services,To promote a debate on the provision of rural services and to issue periodic reports.,Baroness Byford,Secretary,Conservative
412,All-Party Parliamentary Group on Mozambique,To build a greater understanding in Parliament of Mozambique and its regional and international roles.,Baroness Chalker of Wallasey,Vice Chair,Conservative
413,All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Baroness Corston,Vice Chair,Labour
414,All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Baroness Corston,Co-Chair,Labour
415,British Council All-Party Parliamentary Group,"For parliamentarians to learn more about and better understand the British Council, and to support the British Council, offering advice and encouragement in both its everyday and long term work.",Baroness Coussins,Vice Chair,Crossbench
416,All-Party Parliamentary Group for Jazz Appreciation,"To encourage wider and deeper enjoyment of jazz, to increase parliamentarians' understanding of the jazz industry and issues surrounding it, to promote jazz as a musical form and to raise its profile inside and outside Parliament.",Baroness Coussins,Secretary,Crossbench
417,All-Party Parliamentary Group on Modern Languages,"To explore the educational, skills-related, employment, competitive and cultural benefits of learning and using languages throughout the UK; to provide a parliamentary forum for information exchange and consultation; to encourage and support policies and action improving the take-up of languages in schools, further and higher education, in the workplace and in the community.",Baroness Coussins,Co-Chair,Crossbench
